Empresa;Tipo;Serviço;Razão Social;NF;Vl_Customedio_Total;Solicitação;Data;Natureza da Solicitação
1.0;;;;;1889.06;582.0;22/09/2022;
1.0;;;;;1878.06;603.0;27/09/2022;
1.0;;;;;942.63;694.0;26/10/2022;
1.0;;;;;1481.77;886.0;16/12/2022;
1.0;;;;;60.589999999999996;911.0;27/12/2022;
1.0;;;;;52.42;913.0;28/12/2022;
1.0;;;;;122.54;921.0;05/01/2023;
1.0;;;;;5731.46;922.0;05/01/2023;
1.0;;;;;4.2;931.0;10/01/2023;
1.0;;;;;4.2;932.0;10/01/2023;
1.0;;;;;4.2;933.0;10/01/2023;
1.0;;;;;80.39;951.0;12/01/2023;
1.0;;;;;35.0;954.0;13/01/2023;
1.0;;;;;33.58;957.0;13/01/2023;
1.0;;;;;393.90000000000003;966.0;17/01/2023;
1.0;;;;;248.54999999999998;968.0;17/01/2023;
1.0;;;;;460.0;985.0;20/01/2023;
1.0;;;;;68.0;994.0;24/01/2023;
1.0;;;;;61.59;995.0;24/01/2023;
1.0;;;;;453.6;1006.0;27/01/2023;
402.0;;;;;4328.6;1013.0;01/02/2023;
1.0;;;;;89.85;1019.0;02/02/2023;
28.0;;;;;382.12;1020.0;03/02/2023;
1.0;;;;;261.51;1022.0;03/02/2023;
1.0;;;;;80.0;1023.0;03/02/2023;
1.0;;;;;725.4399999999999;1030.0;07/02/2023;
25.0;;;;;79.9;1035.0;08/02/2023;
28.0;;;;;187.0;1038.0;08/02/2023;
402.0;;;;;75.0;1039.0;08/02/2023;
1.0;;;;;187.0;1040.0;08/02/2023;
1.0;;;;;280.85;1044.0;09/02/2023;
22.0;;;;;72.0;1045.0;09/02/2023;
14.0;;;;;197.0;1046.0;09/02/2023;
605.0;;;;;190.0;1047.0;09/02/2023;
2.0;;;;;193.0;1048.0;09/02/2023;
1.0;;;;;69.0;1050.0;09/02/2023;
22.0;;;;;108.0;1052.0;10/02/2023;
25.0;;;;;1550.0;1060.0;14/02/2023;
1.0;;;;;290.0;1061.0;14/02/2023;
1.0;;;;;455.85;1062.0;14/02/2023;
1.0;;;;;6684.77;1065.0;15/02/2023;
8.0;;;;;1890.0;1066.0;15/02/2023;
1.0;;;;;27.699999999999996;1067.0;15/02/2023;
1.0;;;;;370.02;1068.0;15/02/2023;
1.0;;;;;6.95;1074.0;16/02/2023;
1.0;;;;;287.24;1075.0;16/02/2023;
8.0;;;;;1290.0;1082.0;17/02/2023;
28.0;;;;;868.82;1085.0;22/02/2023;
1.0;;;;;284.01;1087.0;22/02/2023;
1.0;;;;;58.58;1088.0;22/02/2023;
1.0;;;;;86.4;1091.0;23/02/2023;
1.0;;;;;774.1800000000001;1098.0;24/02/2023;
1.0;;;;;585.0;1109.0;01/03/2023;
1.0;;;;;3540.67;1110.0;01/03/2023;
25.0;;;;;343.76;1113.0;02/03/2023;
25.0;;;;;140.15;1116.0;03/03/2023;
1.0;;;;;695.9;1119.0;03/03/2023;
1.0;;;;;47.730000000000004;1121.0;03/03/2023;
1.0;;;;;377.76;1122.0;06/03/2023;
1.0;;;;;272.25;1125.0;06/03/2023;
19.0;;;;;17.92;1127.0;06/03/2023;
1.0;;;;;71.76;1128.0;07/03/2023;
25.0;;;;;74.9;1131.0;07/03/2023;
5.0;;;;;70.0;1132.0;07/03/2023;
22.0;;;;;1431.4299999999998;1133.0;07/03/2023;
9.0;;;;;371.07;1134.0;07/03/2023;
22.0;;;;;1097.73;1135.0;07/03/2023;
1.0;;;;;145.6;1137.0;08/03/2023;
1.0;;;;;554.85;1138.0;08/03/2023;
30.0;;;;;106057.61;1139.0;14/02/2023;
28.0;;;;;906.1;1140.0;09/03/2023;
1.0;;;;;759.39;1141.0;09/03/2023;
402.0;;;;;79.28999999999999;1143.0;09/03/2023;
1.0;;;;;605.3100000000001;1146.0;10/03/2023;
22.0;;;;;299.52;1151.0;10/03/2023;
22.0;;;;;3500.0;1171.0;15/03/2023;
25.0;;;;;36.0;1172.0;15/03/2023;
1.0;;;;;280.0;1173.0;15/03/2023;
1.0;;;;;1380.0;1176.0;16/03/2023;
22.0;;;;;3711.75;1178.0;16/03/2023;
607.0;;;;;397.42;1179.0;16/03/2023;
1.0;;;;;116.0;1181.0;17/03/2023;
8.0;;;;;307.95;1182.0;17/03/2023;
28.0;;;;;296.6;1184.0;20/03/2023;
23.0;;;;;100.0;1186.0;20/03/2023;
25.0;;;;;1620.0;1195.0;21/03/2023;
1.0;;;;;1380.0;1196.0;21/03/2023;
22.0;;;;;186.0;1197.0;22/03/2023;
28.0;;;;;242.57999999999998;1200.0;23/03/2023;
24.0;;;;;775.0;1201.0;23/03/2023;
9.0;;;;;289.0;1207.0;27/03/2023;
25.0;;;;;289.0;1208.0;27/03/2023;
1.0;;;;;555.51;1210.0;27/03/2023;
402.0;;;;;186.57;1217.0;29/03/2023;
13.0;;;;;12800.0;1218.0;29/03/2023;
1.0;;;;;173.33;1221.0;29/03/2023;
1.0;;;;;5853.66;1222.0;30/03/2023;
1.0;;;;;800.0;1227.0;30/03/2023;
1.0;;;;;108.25999999999999;1229.0;30/03/2023;
1.0;;;;;302.22;1234.0;31/03/2023;
13.0;;;;;7775.0;1242.0;31/03/2023;
23.0;;;;;246.71;1243.0;31/03/2023;
605.0;;;;;397.42;1246.0;03/04/2023;
1.0;;;;;84.24;1247.0;03/04/2023;
1.0;;;;;176.15;1248.0;03/04/2023;
1.0;;;;;241.32999999999998;1251.0;04/04/2023;
1.0;;;;;245.01;1253.0;05/04/2023;
10.0;;;;;2634.0;1255.0;06/04/2023;
18.0;;;;;2634.0;1256.0;05/04/2023;
1.0;;;;;922.8499999999999;1257.0;05/04/2023;
1.0;;;;;4480.0;1262.0;06/04/2023;
1.0;;;;;1374.75;1263.0;10/04/2023;
1.0;;;;;145.6;1264.0;10/04/2023;
1.0;;;;;314.05;1267.0;11/04/2023;
1.0;;;;;527.48;1273.0;11/04/2023;
28.0;;;;;200.5;1275.0;11/04/2023;
19.0;;;;;961.8;1287.0;14/04/2023;
1.0;;;;;914.21;1289.0;14/04/2023;
22.0;;;;;3452.14;1299.0;18/04/2023;
1.0;;;;;399.08;1300.0;18/04/2023;
8.0;;;;;160.48;1301.0;18/04/2023;
23.0;;;;;1180.0;1305.0;19/04/2023;
1.0;;;;;55.72;1306.0;20/04/2023;
22.0;;;;;6300.0;1307.0;20/04/2023;
402.0;;;;;127.84;1312.0;24/04/2023;
28.0;;;;;1547.01;1313.0;24/04/2023;
1.0;;;;;367.0;1314.0;24/04/2023;
1.0;;;;;905.3;1315.0;24/04/2023;
1.0;;;;;54.76;1317.0;24/04/2023;
1.0;;;;;164.5;1319.0;25/04/2023;
1.0;;;;;2028.0;1321.0;26/04/2023;
1.0;;;;;111.49000000000001;1323.0;26/04/2023;
1.0;;;;;422.06;1326.0;27/04/2023;
1.0;;;;;785.3;1327.0;27/04/2023;
1.0;;;;;298.06;1333.0;27/04/2023;
1.0;;;;;1269.78;1334.0;28/04/2023;
1.0;;;;;26.9;1335.0;28/04/2023;
1.0;;;;;764.26;1341.0;02/05/2023;
19.0;;;;;5.1;1342.0;03/05/2023;
1.0;;;;;104.5;1343.0;03/05/2023;
1.0;;;;;19.88;1344.0;03/05/2023;
24.0;;;;;669.9;1353.0;04/05/2023;
24.0;;;;;669.9;1355.0;04/05/2023;
19.0;;;;;104.85000000000001;1357.0;04/05/2023;
1.0;;;;;30.85;1360.0;08/05/2023;
1.0;;;;;401.05;1364.0;09/05/2023;
25.0;;;;;699.0;1367.0;10/05/2023;
1.0;;;;;4060.0;1369.0;11/05/2023;
607.0;;;;;815.0;1370.0;11/05/2023;
1.0;;;;;110.0;1378.0;15/05/2023;
5.0;;;;;100.82;1381.0;15/05/2023;
1.0;;;;;952.18;1382.0;16/05/2023;
18.0;;;;;33.7;1387.0;16/05/2023;
1.0;;;;;2397.98;1390.0;17/05/2023;
1.0;;;;;77.64;1392.0;17/05/2023;
1.0;;;;;42.0;1395.0;18/05/2023;
1.0;;;;;24.9;1396.0;18/05/2023;
30.0;;;;;129.99;1398.0;18/05/2023;
1.0;;;;;8.6;1401.0;22/05/2023;
1.0;;;;;351.19;1403.0;22/05/2023;
1.0;;;;;554.9;1406.0;23/05/2023;
1.0;;;;;1608.5;1411.0;23/05/2023;
1.0;;;;;27.799999999999997;1420.0;24/05/2023;
28.0;;;;;1030.8899999999999;1423.0;25/05/2023;
1.0;;;;;442.59;1425.0;25/05/2023;
10.0;;;;;6802.6;1426.0;25/05/2023;
22.0;;;;;109.85;1429.0;29/05/2023;
5.0;;;;;700.0;1431.0;30/05/2023;
605.0;;;;;363.64;1447.0;01/06/2023;
1.0;;;;;41.88;1476.0;05/06/2023;
1.0;;;;;155.0;1478.0;05/06/2023;
1.0;;;;;6.5;1484.0;06/06/2023;
1.0;;;;;180.57;1485.0;06/06/2023;
25.0;;;;;98.0;1491.0;06/06/2023;
24.0;;;;;172.99;1493.0;07/06/2023;
28.0;;;;;6250.0;1494.0;07/06/2023;
25.0;;;;;1240.31;1499.0;07/06/2023;
25.0;;;;;119.0;1501.0;07/06/2023;
28.0;;;;;556.5;1503.0;07/06/2023;
19.0;;;;;2390.0;1508.0;07/06/2023;
5.0;;;;;1200.94;1511.0;09/06/2023;
1.0;;;;;1198.0;1512.0;09/06/2023;
19.0;;;;;4.77;1513.0;09/06/2023;
1.0;;;;;692.54;1522.0;12/06/2023;
1.0;;;;;18.9;1532.0;15/06/2023;
1.0;;;;;51.47;1533.0;15/06/2023;
22.0;;;;;119.0;1539.0;15/06/2023;
28.0;;;;;1060.0;1542.0;16/06/2023;
402.0;;;;;298.0;1546.0;16/06/2023;
1.0;;;;;1099.0;1553.0;19/06/2023;
1.0;;;;;1782.0;1554.0;19/06/2023;
28.0;;;;;2833.33;1555.0;19/06/2023;
30.0;;;;;420.0;1560.0;21/06/2023;
30.0;;;;;18.99;1561.0;21/06/2023;
13.0;;;;;9835.0;1562.0;21/06/2023;
1.0;;;;;970.0;1565.0;21/06/2023;
24.0;;;;;699.0;1567.0;21/06/2023;
18.0;;;;;378.0;1582.0;22/06/2023;
1.0;;;;;50.28;1595.0;23/06/2023;
30.0;;;;;49.839999999999996;1598.0;26/06/2023;
5.0;;;;;355.44;1606.0;26/06/2023;
