Empresa;Tipo;Servico;ID_Prestador;Nr_nf;Ds_Obs_Cmc;Vl_Solicitacao_Total;Solicitação;Pedido;Ds_Compra;Prioridade;Data;Data_Prev;Natureza da Solicitacao;Usuario;Situacao
1;AQUISICAO;MATERIAIS;309770;94330.0;;31235.09;520;12255.0;;ALTA;31/08/2022;09/09/2022;COMPRA;1851;APROVADA
1;AQUISICAO;MATERIAIS;324474;51818.0;;748.5;522;12256.0;;ALTA;31/08/2022;09/09/2022;COMPRA;1851;APROVADA
1;AQUISICAO;MATERIAIS;309770;;;517.0;524;;;ALTA;01/09/2022;;COMPRA;1851;APROVADA
1;AQUISICAO;MATERIAIS;353324;4543592.0;;23070.99;527;12283.0;;;01/09/2022;12/09/2022;COMPRA;1851;APROVADA
1;AQUISICAO;PINTURA;1;660354.0;;2127.8;530;12294.0;;MEDIA;06/09/2022;12/09/2022;COMPRA;1852;APROVADA
1;AQUISICAO;MATERIAIS;353585;706.0;;2614.16;532;12350.0;;NORMAL;09/09/2022;19/09/2022;COMPRA;1852;APROVADA
1;AQUISICAO;MATERIAIS;11304;1431396.0;;14239.6;537;12379.0;;NORMAL;13/09/2022;19/09/2022;COMPRA;1852;APROVADA
1;AQUISICAO;ELETRICA;307665;177271.0;;382.02;540;12346.0;;ALTA;14/09/2022;14/09/2022;COMPRA;1850;APROVADA
1;AQUISICAO;MATERIAIS;12407;5388.0;;463.23;541;12404.0;;NORMAL;14/09/2022;14/10/2022;COMPRA;1852;APROVADA
25;;;;3526994.0;;228.57;554;13238.0;;NORMAL;16/09/2022;24/11/2022;;1850;APROVADA
1;AQUISICAO;MATERIAIS;11224;5348.0;;2456.7;557;12403.0;;ALTA;19/09/2022;20/09/2022;COMPRA;1850;APROVADA
1;AQUISICAO;MATERIAIS;353979;66854.0;;394.2;561;12449.0;;NORMAL;19/09/2022;30/09/2022;COMPRA;1852;APROVADA
1;AQUISICAO;MATERIAIS;11304;1431275.0;;217.35;568;12417.0;;ALTA;20/09/2022;21/09/2022;COMPRA;1850;APROVADA
1;AQUISICAO;MATERIAIS;353011;268495.0;;34.7;569;12418.0;;ALTA;20/09/2022;20/09/2022;COMPRA;1850;APROVADA
