Código;Nome Filial;Estado
1;Fábrica;São Paulo
2;Morumbi;São Paulo
5;Outlet;São Paulo
6;Analia Franco;São Paulo
8;Brasília Iguatemi;Brasília
9;Lago Sul;Brasília
10;Recife RioMar;Pernambuco
11;Ribeirão Preto;São Paulo
12;Serviço;
13;Village Mall;Rio de Janeiro
14;Alpha Masc;São Paulo
16;Studio Matarazzo;São Paulo
18;Patio Batel;Paraná
19;Salvador;Bahia
22;Bela Cintra;São Paulo
23;Campinas;São Paulo
24;BH;Minas Gerais
25;Belvedere;Minas Gerais
26;Ecommerce MG;Minas Gerais
27;CD MG;Minas Gerais
28;Galpão 92;São Paulo
29;Galpão 116;São Paulo
30;Cid Matarazzo;São Paulo
401;RAI Itap;
402;RAI Mamore;São Paulo
601;RLCP RM;
604;RLCP Bela Cintra;São Paulo
605;RLCP Iguatemi;São Paulo
607;RLCP JK;São Paulo
801;AMLC Fortaleza RioMar;Ceará
815;Gremio;
821;Sprit Holding;Santa Catarina
822;WR Holding;
831;GPAV Fortaleza Iguatemi;Ceará
841;Spock Bela Cintra;São Paulo
842;Spock Higienopolis;São Paulo
843;Spock Morumbi;São Paulo
844;Spock JK;São Paulo
