Código;Nome Filial;Estado;Região
1;Fábrica;São Paulo;Sudeste
2;Morumbi;São Paulo;Sudeste
5;Outlet;São Paulo;Sudeste
6;Analia Franco;São Paulo;Sudeste
8;Brasília Iguatemi;Brasília;Centro-Oeste
9;Lago Sul;Brasília;Centro-Oeste
10;Recife RioMar;Pernambuco;Nordeste
11;Ribeirão Preto;São Paulo;Sudeste
12;Serviço;;
13;Village Mall;Rio de Janeiro;Sudeste
14;Alpha Masc;São Paulo;Sudeste
16;Studio Matarazzo;São Paulo;Sudeste
18;Patio Batel;Paraná;Sul
19;Salvador;Bahia;Nordeste
22;Bela Cintra;São Paulo;Sudeste
23;Campinas;São Paulo;Sudeste
24;BH;Minas Gerais;Sudeste
25;Belvedere;Minas Gerais;Sudeste
26;Ecommerce MG;Minas Gerais;Sudeste
27;CD MG;Minas Gerais;Sudeste
28;Galpão 92;São Paulo;Sudeste
29;Galpão 116;São Paulo;Sudeste
30;Cid Matarazzo;São Paulo;Sudeste
401;RAI Itap;;
402;RAI Mamore;São Paulo;Sudeste
601;RLCP RM;;
604;RLCP Bela Cintra;São Paulo;Sudeste
605;RLCP Iguatemi;São Paulo;Sudeste
607;RLCP JK;São Paulo;Sudeste
801;AMLC Fortaleza RioMar;Ceará;Nordeste
815;Gremio;;
821;Sprit Holding;Santa Catarina;Sul
822;WR Holding;;
831;GPAV Fortaleza Iguatemi;Ceará;Nordeste
841;Spock Bela Cintra;São Paulo;Sudeste
842;Spock Higienopolis;São Paulo;Sudeste
843;Spock Morumbi;São Paulo;Sudeste
844;Spock JK;São Paulo;Sudeste
