Empresa;Data;Situacao;Usuario;Solicitação;Nr_nf;Sku;Dt_Preventrega;Pedido;Ds_Prioridade;Ds_Compra;Vl_Solicitacao_Total;Cod_Ccusto;Obs_lin1;Obs_lin2;Obs_lin3;Obs_lin4
1;31/08/2022;APROVADA;1851;520;94330.0;5000264;09/09/2022;12255;ALTA;;31235.09;999;;;;
1;31/08/2022;APROVADA;1851;522;51818.0;5005879;09/09/2022;12256;ALTA;;748.5;999;;;;
1;01/09/2022;APROVADA;1851;524;;5009297;;;ALTA;;517.0;999;;;;
1;01/09/2022;APROVADA;1851;527;4543592.0;5004284;12/09/2022;12283;;;23070.99;999;;;;
1;06/09/2022;APROVADA;1852;530;660354.0;5005791;12/09/2022;12294;MEDIA;;2127.8;999;;;;
1;09/09/2022;APROVADA;1852;532;706.0;5003372;19/09/2022;12350;NORMAL;;2614.16;999;;;;
1;13/09/2022;APROVADA;1852;537;1431396.0;5007463;19/09/2022;12379;NORMAL;;14239.6;999;;;;
1;14/09/2022;APROVADA;1850;540;177271.0;5008501;14/09/2022;12346;ALTA;;382.02;999;;;;
1;14/09/2022;APROVADA;1852;541;5388.0;5001916;14/10/2022;12404;NORMAL;;463.23;999;;;;
25;16/09/2022;APROVADA;1850;554;3526994.0;5010015;24/11/2022;13238;NORMAL;;228.57;999;;;;
1;19/09/2022;APROVADA;1850;557;5348.0;5004328;20/09/2022;12403;ALTA;;2456.7;999;;;;
1;19/09/2022;APROVADA;1852;561;66854.0;5003642;30/09/2022;12449;NORMAL;;394.2;999;;;;
1;20/09/2022;APROVADA;1850;568;1431275.0;5010023;21/09/2022;12417;ALTA;;217.35;999;;;;
1;20/09/2022;APROVADA;1850;569;268495.0;5009967;20/09/2022;12418;ALTA;;34.7;999;;;;
1;21/09/2022;APROVADA;1850;573;11145408.0;5006464;23/09/2022;12428;NORMAL;;591.2;999;;;;
1;21/09/2022;APROVADA;1850;576;448308.0;5010029;26/09/2022;12460;ALTA;;4607.47;999;;;;
1;21/09/2022;APROVADA;1851;581;95244.0;5003635;27/09/2022;12490;ALTA;;1050.0;999;;;;
1;22/09/2022;APROVADA;1853;582;864503.0;5004764;28/09/2022;12455;ALTA;;8312.53;999;;;;
1;22/09/2022;APROVADA;1850;592;268668.0;5002762;26/09/2022;12452;ALTA;;469.0;999;;;;
1;22/09/2022;APROVADA;1850;593;523295.0;5010057;30/09/2022;12476;ALTA;;586.0;999;;;;
1;27/09/2022;APROVADA;1853;603;5699199.0;5004738;21/10/2022;12804;;;4189.19;403050000;;;;
