Empresa;Data;Situacao;Usuario;Solicitação;Nr_nf;Sku;Dt_Preventrega;Pedido;Ds_Prioridade;Ds_Compra;Vl_Solicitacao_Total;Cod_Ccusto;Obs_lin1;Obs_lin2;Obs_lin3;Obs_lin4
1;21/06/2024;APROVADA;1857;5552;25.0;5013729;24/06/2024;20996;NORMAL;REALIZADA;5600.0;FACILITIES;NF 025 - BOLETO COM VENCIMENTO PARA 04/07;;;
9;21/06/2024;APROVADA;1857;5556;;525457;24/06/2024;20985;NORMAL;REALIZADA;450.0;FACILITIES;NF 50 - DEPOSITO PARA 27/06;;;
9;21/06/2024;APROVADA;1857;5557;;623;24/06/2024;20986;NORMAL;REALIZADA;250.0;FACILITIES;NF 43 - PAGAMENTO PARA 04/06;;;
1;21/06/2024;APROVADA;1857;5571;583.0;5008861;25/06/2024;21047;NORMAL;REALIZADA;280.0;FACILITIES;NF 583 - DEPOSITO PARA 26/06;;;
821;21/06/2024;APROVADA;1856;5574;;5785;24/06/2024;21005;NORMAL;REALIZADA;1080.0;403070000;NF 12050/A1 - PAGAMENTO PARA 25/06/2024;;;
821;24/06/2024;APROVADA;1857;5583;;181844;25/06/2024;21029;NORMAL;REALIZADA;51618.0;FACILITIES;NF 97 - BOLETO PARA 30/06;;;
13;24/06/2024;APROVADA;1857;5586;;525457;25/06/2024;21030;NORMAL;REALIZADA;350.0;FACILITIES;NF 1003015 - BOLETO PARA 04/07;;;
605;24/06/2024;APROVADA;1857;5587;;4126;25/06/2024;21031;NORMAL;REALIZADA;105.69;FACILITIES;NF 29730 - BOLETO PARA 05/07;;;
607;24/06/2024;APROVADA;1857;5588;;4126;25/06/2024;21032;NORMAL;REALIZADA;105.32;FACILITIES;NF 29767 - BOLETO PARA 05/07;;;
30;24/06/2024;APROVADA;1857;5589;;4126;25/06/2024;21033;NORMAL;REALIZADA;666.42;FACILITIES;NF 29784 - BOLETO PARA 04/07;;;
2;24/06/2024;APROVADA;1857;5590;;4126;25/06/2024;21035;NORMAL;REALIZADA;158.53;FACILITIES;NF 29731 - BOLETO PARA 04/07;;;
1;24/06/2024;APROVADA;1857;5591;;525457;25/06/2024;21036;NORMAL;REALIZADA;998.16;FACILITIES;NF 8186 - BOLETO PARA 10/07;;;
19;25/06/2024;APROVADA;1856;5607;;623;26/06/2024;21064;NORMAL;REALIZADA;1632.0;FACILITIES;NF 32 - PAGAMENTO PARA 01/07/2024;;;
25;25/06/2024;APROVADA;1856;5617;313238.0;5011882;25/06/2024;21061;NORMAL;REALIZADA;170.0;FACILITIES;;;;
607;26/06/2024;APROVADA;1857;5627;;534711;27/06/2024;21096;NORMAL;REALIZADA;550.0;FACILITIES;NF 33 - BOLETO PARA 08/07;;;
2;26/06/2024;APROVADA;1857;5628;;534711;28/06/2024;21129;NORMAL;REALIZADA;350.0;FACILITIES;NF 32 - BOLETO PARA 08/07;;;
841;26/06/2024;APROVADA;1857;5629;;534711;27/06/2024;21097;NORMAL;REALIZADA;450.0;FACILITIES;NF 31 - BOLETO PARA 08/07;;;
13;26/06/2024;APROVADA;1857;5631;;623;27/06/2024;21098;NORMAL;REALIZADA;1250.0;FACILITIES;NF 38 - DEPOSITO PARA 05/07;;;
1;26/06/2024;APROVADA;1857;5632;;7527;27/06/2024;21099;NORMAL;REALIZADA;2880.0;FACILITIES;NF 174431 - BOLETO PARA 30/06;;;
10;26/06/2024;APROVADA;1857;5633;;4126;27/06/2024;21100;NORMAL;REALIZADA;600.0;FACILITIES;NF 11 - DEPOSITO PARA 10/07;;;
1;26/06/2024;APROVADA;1857;5636;6218.0;5004919;27/06/2024;21101;NORMAL;REALIZADA;1788.33;FACILITIES;NF 6218 - BOLETO PARA 28/06;;;
821;26/06/2024;APROVADA;1857;5641;2255.0;5012848;11/07/2024;21321;NORMAL;REALIZADA;65748.64;FACILITIES;NF 2255 - VENCIMENTO PARA 08/07;;;
821;26/06/2024;APROVADA;1857;5648;;534711;01/07/2024;21163;NORMAL;REALIZADA;18298.76;FACILITIES;NF 3869 - VENCIMENTO PARA 08/07;;;
841;26/06/2024;APROVADA;1856;5651;;4126;27/06/2024;21102;NORMAL;REALIZADA;1710.0;FACILITIES;NF 5893 - PAGAMENTO PARA 01/07/2024;;;
1;27/06/2024;APROVADA;1856;5671;1816404.0;5013842;11/07/2024;21266;NORMAL;PENDENTE;13830.67;FACILITIES;SEGUIR A DESCRICAO ENVIADA POR EMAIL;;;
25;27/06/2024;APROVADA;1857;5673;19493.0;5012295;28/06/2024;21132;NORMAL;REALIZADA;987.6;FACILITIES;NF 19493 - DEPOSITO PARA 01/07;;;
25;27/06/2024;APROVADA;1857;5676;;525457;28/06/2024;21146;NORMAL;REALIZADA;195.0;FACILITIES;NF 574 - DEPOSITO PARA 01/07;;;
