Empresa;Data;Prestador;Tipo;Descricao_Item;Solicitação;Pedido;Vl_Solicitacao_Total;Dt_Preventrega;Ds_Prioridade;Usuario;Situacao;Numero_NF;Vencimento_NF
25;2025-10-20;;Compra;;14623;;650.0;;NORMAL;1858;APROVADA;;
821;2025-10-20;;Produto;Materiais para obra bravissima. nao efetuar o pagamento, ate a valida do alberto.;14614;;20488.96;;NORMAL;1858;PENDENTE;7651;
821;2025-10-20;;Produto;Material para obra bravissima. nao efetuar o pagamento, ate a validacao do alberto.;14615;;13382.34;;NORMAL;1858;PENDENTE;7672;
821;2025-10-20;;Produto;Material para obra bravissima. nao efetuar o pagamento, ate a validacao do alberto.;14617;;15923.88;;NORMAL;1858;PENDENTE;7677;
1;2025-10-17;;Compra;;14585;31071.0;723.52;20/10/2025;ALTA;1858;APROVADA;;
1;2025-10-17;;Serviço;Troca de duas bateriais do elevador.;14586;31061.0;483.42;17/10/2025;NORMAL;1858;APROVADA;;
1;2025-10-17;;Compra;;14587;;26.0;;NORMAL;1858;APROVADA;;
1;2025-10-17;;Serviço;Transporte de marmore contratado pelo nelsinho.;14588;31088.0;2800.0;17/10/2025;NORMAL;1858;APROVADA;60;
9;2025-10-17;;Compra;;14605;;379.0;;NORMAL;1858;APROVADA;;
821;2025-10-17;;Serviço;Instalacao e montagem de produtos.;14590;;13801.33;;NORMAL;1858;PENDENTE;1474;
821;2025-10-17;;Produto;Materiais utilizados na obra bravissima. nao efetuar o pagamento, ate a validacao do alberto.;14593;31110.0;4450.08;17/10/2025;NORMAL;1858;APROVADA;43491;
842;2025-10-17;;Serviço;Limpeza de fachada.;14606;;1250.0;;NORMAL;1858;APROVADA;;
19;2025-10-15;;Compra;Compra de placa e extintor.;14543;31021.0;175.0;15/10/2025;NORMAL;1858;APROVADA;130;
821;2025-10-15;;Produto;Materiais para obra bravissima.;14538;31022.0;866.24;15/10/2025;NORMAL;1858;APROVADA;20300;
821;2025-10-15;;Produto;Materiais para obra bravissima.;14539;31023.0;1012.54;15/10/2025;NORMAL;1858;APROVADA;20287;
842;2025-10-15;;Serviço;Fabricacao de araras.;14542;31020.0;2300.0;15/10/2025;NORMAL;1858;APROVADA;88;
842;2025-10-15;;Produto;Materiais para a instalacao do driver.;14549;;2041.96;;NORMAL;1858;APROVADA;;
1;2025-10-14;;Compra;;14515;31155.0;4240.0;24/10/2025;NORMAL;1858;APROVADA;;
23;2025-10-14;;Produto;Vidros para troca e remocao das setas da fachada da loja.;14483;31086.0;10130.25;17/10/2025;NORMAL;1858;APROVADA;;
23;2025-10-14;;Produto;Troca de vidro, necessario remover devido a troca de setas.;14511;31084.0;1057.5;17/10/2025;NORMAL;1858;APROVADA;;
605;2025-10-14;;Produto;Remocao de setas da fachada da loja.;14514;31087.0;4927.0;17/10/2025;NORMAL;1858;APROVADA;;
