Empresa;Data;Prestador;Solicitação;Pedido;Vl_Solicitacao_Total;Dt_Preventrega;Ds_Prioridade;Usuario;Situacao;Ds_Compra
25;2025-10-20;COMPRA DE UM MICROONDAS PARA BELVEDERE;14623;;650.0;;NORMAL;1858;APROVADA;PENDENTE
821;2025-10-20;BB COMERCIO E DECORACOES LTDA;14614;;20488.96;;NORMAL;1858;PENDENTE;REALIZADA
821;2025-10-20;BB COMERCIO E DECORACOES LTDA;14615;;13382.34;;NORMAL;1858;PENDENTE;REALIZADA
821;2025-10-20;BB COMERCIO E DECORACOES LTDA;14617;;15923.88;;NORMAL;1858;PENDENTE;REALIZADA
1;2025-10-17;COMPRA DE MATERIAIS PARA A CONTINUIDADE NA ADEQUACAO DOS QUADROS DE ENERGIA;14585;31071.0;723.52;20/10/2025;ALTA;1858;APROVADA;PENDENTE
1;2025-10-17;TK ELEVADORES LTDA;14586;31061.0;483.42;17/10/2025;NORMAL;1858;APROVADA;REALIZADA
1;2025-10-17;COMPRA DE 10 MINI DOBRADICAS PARA O ATENDIMENTO AO CHAMADO TRILOGO.;14587;;26.0;;NORMAL;1858;APROVADA;PENDENTE
1;2025-10-17;MARCIA CORREIA DIAS;14588;31088.0;2800.0;17/10/2025;NORMAL;1858;APROVADA;REALIZADA
9;2025-10-17;COMPRA ASPIRADOR DE PO E AGUA REFERENTE AO CHAMADO TRILOGO;14605;;379.0;;NORMAL;1858;APROVADA;PENDENTE
821;2025-10-17;CLAMOM INDUSTRIA DE MOVEIS LTDA;14590;;13801.33;;NORMAL;1858;PENDENTE;REALIZADA
821;2025-10-17;VB MATERIAIS DE CONSTRUCAO LTDA;14593;31110.0;4450.08;17/10/2025;NORMAL;1858;APROVADA;REALIZADA
842;2025-10-17;MIKE DENNER FREIRE LIMA;14606;;1250.0;;NORMAL;1858;APROVADA;REALIZADA
19;2025-10-15;B E P COMERCIO DE EXTINTORES LTDA;14543;31021.0;175.0;15/10/2025;NORMAL;1858;APROVADA;REALIZADA
821;2025-10-15;TINTAS DARKA LTDA;14538;31022.0;866.24;15/10/2025;NORMAL;1858;APROVADA;REALIZADA
821;2025-10-15;TINTAS DARKA LTDA;14539;31023.0;1012.54;15/10/2025;NORMAL;1858;APROVADA;REALIZADA
842;2025-10-15;THIAGO VINICIUS DONADELLI;14542;31020.0;2300.0;15/10/2025;NORMAL;1858;APROVADA;REALIZADA
842;2025-10-15;STUDIO LD ILUMINACAO;14549;;2041.96;;NORMAL;1858;APROVADA;REALIZADA
1;2025-10-14;COMPRA DE 20 LUMINARIAS PARA REPOSICAO DAS LUMINARIAS QUE ESTAO SEM FUNCIONAR.;14515;31155.0;4240.0;24/10/2025;NORMAL;1858;APROVADA;PENDENTE
23;2025-10-14;SANDOVAL OLIVEIRA SANTOS;14483;31086.0;10130.25;17/10/2025;NORMAL;1858;APROVADA;REALIZADA
23;2025-10-14;SANDOVAL OLIVEIRA SANTOS;14511;31084.0;1057.5;17/10/2025;NORMAL;1858;APROVADA;REALIZADA
605;2025-10-14;SANDOVAL OLIVEIRA SANTOS;14514;31087.0;4927.0;17/10/2025;NORMAL;1858;APROVADA;REALIZADA
821;2025-10-14;CLAMOM INDUSTRIA DE MOVEIS LTDA;14484;31008.0;6943.36;15/10/2025;NORMAL;1858;APROVADA;REALIZADA
843;2025-10-14;COMPRA DE 6 PAINEL DE LED EMBUTIR REFERENTE AO CHAMADO E ESTOQUE.;14485;31041.0;762.0;16/10/2025;NORMAL;1858;APROVADA;PENDENTE
1;2025-10-13;CLEISSON CASSIANO CRUZ;14454;30962.0;1140.0;13/10/2025;NORMAL;1858;APROVADA;REALIZADA
1;2025-10-13;COMPRA DE MATERIAIS PARA CONTINUIDADE NA OBRA ADEQUACAO DOS QUADROS DE ENERGIA;14455;31148.0;2705.27;27/10/2025;ALTA;1858;APROVADA;PENDENTE
1;2025-10-13;COMPRA DE 5 APOIO DE PES ERGONOMICO DEVIDO AO CHAMADO TRILOGO.;14459;31006.0;350.0;16/10/2025;NORMAL;1858;APROVADA;PENDENTE
1;2025-10-13;ATIC TECNOLOGIA DO BRASIL;14466;;7600.0;;NORMAL;1858;APROVADA;REALIZADA
1;2025-10-13;COMPRA DE FITA LED REFERENTE AO CHAMADO TRILOGO;14475;31002.0;600.0;17/10/2025;ALTA;1858;APROVADA;PENDENTE
5;2025-10-13;SANDOVAL OLIVEIRA SANTOS;14445;30965.0;3500.01;13/10/2025;NORMAL;1858;APROVADA;REALIZADA
13;2025-10-13;COMPRA DE 35 LAMPADAS + SOQUETE PARA O VILLAGE.;14452;30988.0;1662.5;21/10/2025;NORMAL;1858;APROVADA;PENDENTE
25;2025-10-13;CASA DO JARDIM E JARDINAGEM LTDA;14446;30964.0;423.53;13/10/2025;NORMAL;1858;APROVADA;REALIZADA
30;2025-10-13;WK PLANTAS & FLORES LTDA;14456;31044.0;20700.0;16/10/2025;NORMAL;1858;APROVADA;REALIZADA
821;2025-10-13;BB TRANDING COMERCIO LTDA;14448;30963.0;7918.0;13/10/2025;NORMAL;1858;APROVADA;REALIZADA
841;2025-10-13;WK PLANTAS & FLORES LTDA;14463;31131.0;680.0;20/10/2025;NORMAL;1858;APROVADA;REALIZADA
843;2025-10-13;OBA LAVANDERIA LTDA;14458;30960.0;195.0;13/10/2025;NORMAL;1858;APROVADA;REALIZADA
1;2025-10-10;EXPEDICAO E GUARITA;14407;30974.0;477.96;17/10/2025;ALTA;1858;APROVADA;PENDENTE
1;2025-10-10;COMPRA MATERIAS PARA O PROJETO CATRACAS, FABRICA.;14411;30971.0;2887.85;17/10/2025;ALTA;1858;APROVADA;PENDENTE
1;2025-10-10;COMPRA DE 1 PELICULA JATEADA.;14412;31017.0;375.0;17/10/2025;NORMAL;1858;APROVADA;PENDENTE
1;2025-10-10;SUPORTE SERVICOS DE SEGURANCA LTDA;14413;30927.0;3922.4;10/10/2025;NORMAL;1858;APROVADA;REALIZADA
5;2025-10-10;SANDOVAL OLIVEIRA SANTOS;14415;30944.0;3500.0;10/10/2025;NORMAL;1858;APROVADA;REALIZADA
14;2025-10-10;FMORENO PROJETOS E CONSULTORIA;14428;30968.0;11800.0;13/10/2025;NORMAL;1858;APROVADA;REALIZADA
19;2025-10-10;PAULO VICTOR BITTENCOURT DA CRUZ;14414;30937.0;300.0;10/10/2025;NORMAL;1858;APROVADA;REALIZADA
402;2025-10-10;COMPRA DE MATERIAIS PARA O PROJETO CATRACAS, CAMISARIA.;14420;30969.0;2887.85;17/10/2025;ALTA;1858;APROVADA;PENDENTE
605;2025-10-10;COMPRA DE 6 PROTETOR DE QUINA PARA IGUATEMI SP CHAMADO TRILIGO.;14424;31004.0;207.0;15/10/2025;NORMAL;1858;APROVADA;PENDENTE
821;2025-10-10;BELING MATERIAIS ELETRICOS LTDA;14416;30939.0;31.88;10/10/2025;NORMAL;1858;APROVADA;REALIZADA
821;2025-10-10;IMPERIO DAS TINTAS LTDA;14417;30943.0;931.4;10/10/2025;NORMAL;1858;APROVADA;REALIZADA
821;2025-10-10;AMOOBJETO DESENVOLVIMENTO DE MOVEIS E OBJETOS LTDA;14422;31033.0;136000.0;16/10/2025;NORMAL;1858;APROVADA;REALIZADA
842;2025-10-10;COMPRA DE CONECTOR DE ARARA PARA O PHG;14425;30946.0;1150.0;10/10/2025;NORMAL;1858;APROVADA;PENDENTE
1;2025-10-08;COMPRA DE 3 CAMERAS PARA ACOMPANHAR OBRA, A PEDIDO DO ALBERTO.;14379;31005.0;1140.0;17/10/2025;NORMAL;1858;APROVADA;PENDENTE
402;2025-10-08;COMPRA DE MATERIAIS PARA AMPLIACAO DA AREA DE PRODUCAO CAMISARIA;14373;30966.0;5019.58;17/10/2025;ALTA;1858;APROVADA;PENDENTE
844;2025-10-08;NOVA IDEAL SERRALHERIA LTDA;14366;30858.0;800.0;08/10/2025;NORMAL;1858;APROVADA;REALIZADA
1;2025-10-07;MAD ART EM MOVEIS LTDA;14346;30913.0;3650.0;10/10/2025;NORMAL;1858;ATENDIDA;REALIZADA
5;2025-10-07;SANDOVAL OLIVEIRA SANTOS;14341;30830.0;4380.49;08/10/2025;NORMAL;1858;APROVADA;REALIZADA
9;2025-10-07;GM SERVICOS LTDA;14344;30853.0;4500.0;08/10/2025;NORMAL;1858;APROVADA;REALIZADA
19;2025-10-07;GLOBAL SALVADOR SERVICOS GERAIS LTDA;14348;30831.0;1300.0;08/10/2025;NORMAL;1858;APROVADA;REALIZADA
821;2025-10-07;DIARCO IND E COMEX LTDA;14347;30879.0;130822.44;09/10/2025;NORMAL;1858;ATENDIDA;REALIZADA
